D-statistic	ref_pos	cov	control_cov
0.5462259113033162	36	708	1138
0.5999373971578628	35	706	1130
0.6095713072385908	29	676	1052
0.6578130348833178	28	668	1047
0.6734500659508297	30	678	1056
0.6903372697523468	37	710	1155
0.7648664643127391	34	699	1123
0.8244609251856111	31	683	1073
0.8248537940318134	38	710	1160
0.8509308526958356	27	633	1028
0.8523014514075667	24	618	1016
0.8596765608277127	45	730	1255
0.8641110356909371	33	689	1092
0.8641947446386743	25	628	1022
0.8748955818383667	23	611	1010
0.8771085256764661	44	730	1253
0.8787076757603453	46	763	1274
0.8816145865794663	7	517	862
0.8829414754582393	6	513	852
0.887758737646071	26	633	1025
0.8890651345186984	32	684	1083
0.8901961580333387	43	728	1247
0.8904538366068119	12	550	931
0.8929890139751601	8	526	870
0.8931713333881031	13	553	934
0.8947626098897409	14	555	938
0.8981723339768805	22	606	1003
0.8999598046170405	40	715	1194
0.9002452417013659	47	856	1318
0.900944865936018	3	340	537
0.9021129813523978	11	543	911
0.9046264526610912	15	557	940
0.9047553855446786	10	542	906
0.9095029892108951	42	726	1230
0.9106073535395444	4	490	815
0.9122842720796781	5	494	823
0.9124695857314044	39	714	1181
0.9180591291356492	9	533	887
0.919820480487851	18	568	947
0.921146994665876	41	721	1204
0.9216938740247183	21	600	994
0.9224686855323757	16	559	940
0.9238704301177357	20	596	990
0.924771953301187	19	570	949
0.9315190544238656	17	562	947
