D-statistic	ref_pos	cov	control_cov
0.6194036271144264	36	708	750
0.6259087497941151	29	676	704
0.6355938285402214	30	678	708
0.649838143010368	37	710	757
0.6760066360261922	35	706	749
0.7076045029074143	28	668	697
0.7146600375423883	31	683	719
0.7980390026373848	32	684	724
0.8265432963994073	38	710	761
0.8296971868744617	33	689	727
0.8480718840150105	3	340	350
0.8494556309530304	34	699	742
0.8693895170041323	24	618	677
0.8718134939829164	27	633	690
0.8782041324153281	4	490	519
0.8820799915315426	47	856	903
0.8839350687073256	46	763	858
0.8979215941054911	9	533	570
0.8979332192025637	13	553	607
0.9022346293902793	25	628	685
0.9032731302303573	23	611	674
0.904205617055022	22	606	667
0.9051991985697111	12	550	599
0.9059022332347252	10	542	584
0.9077871219739487	45	730	842
0.9078835831290858	44	730	838
0.9095165189255411	39	714	768
0.9103723349897117	26	633	688
0.9104451611426537	11	543	587
0.9115635084436642	8	526	564
0.9127118976959746	14	555	610
0.9153970585550547	43	728	834
0.9181147032486945	42	726	800
0.9224304672444569	15	557	611
0.9269562414460749	5	494	526
0.9310187691955986	17	562	617
0.9324396925058046	16	559	613
0.9355375168910558	21	600	658
0.9364362313108647	20	596	654
0.9365662383244429	7	517	557
0.9405821179927396	41	721	783
0.9418191923921144	18	568	619
0.9423288157108457	6	513	553
0.9424934510521341	40	715	775
0.9461666320703523	19	570	619
