D-statistic	ref_pos	cov	control_cov
0.5249643889467347	35	706	1266
0.5889311026578619	37	710	1270
0.5940547947802887	36	708	1267
0.6356567231679203	33	689	1250
0.6930861355769794	34	699	1257
0.7099940319712362	29	676	1236
0.7278619058866319	28	668	1234
0.7385647069164377	31	683	1242
0.7429361453129243	30	678	1237
0.7638852123393579	32	684	1248
0.8012087412626997	38	710	1278
0.8244545355025558	47	856	1432
0.8252749580339535	46	763	1401
0.8269332634073692	3	340	658
0.8475471154950972	27	633	1203
0.8477597742793749	9	533	1016
0.851141057876364	4	490	934
0.8522548885988833	10	542	1033
0.8706608215299664	11	543	1041
0.8744478367618752	8	526	998
0.877569053215563	12	550	1069
0.8796345945774494	26	633	1200
0.8798897088363864	24	618	1192
0.8801054477481826	45	730	1350
0.8828761589066062	39	714	1280
0.8836075895128769	13	553	1078
0.8852509249068244	22	606	1170
0.893612311216419	44	730	1346
0.8976973320802929	5	494	941
0.8996702401349416	23	611	1181
0.904321558054142	14	555	1082
0.9129574691024369	21	600	1165
0.9134663413429923	7	517	988
0.914962949631561	25	628	1196
0.9150865910690621	43	728	1337
0.9154001798893487	42	726	1303
0.9195451504254827	16	559	1087
0.922026322714807	17	562	1097
0.9227913291268744	15	557	1087
0.9228267287488899	6	513	980
0.9278886933067835	20	596	1159
0.9388027807788606	41	721	1288
0.9438645807605832	18	568	1103
0.9488514665797849	19	570	1107
0.9526413229093995	40	715	1287
